,duration,budget,gross,year,month,roi_outlier_ind
887,90,1200000,8708,2016,8,False
888,87,1200000,1299797,2016,10,False
889,96,1200000,4101699,2017,6,False
890,129,1200000,704955,2018,8,False
891,92,1200000,122833,2018,8,False
892,96,1200000,2708622,2018,12,False
893,122,1200000,171229,2019,3,False
894,90,1234567,427083,2005,5,False
895,94,1250000,10529,2004,8,False
896,80,1250000,582094,2012,2,False
897,89,1250000,28782,2015,1,False
898,94,1250000,31585,2016,9,False
899,94,1250000,62398,2016,9,False
900,86,1265000,5630,2011,12,False
901,95,1300000,749741,1996,7,False
902,111,1300000,375757,1996,12,False
903,89,1300000,116799,1997,11,False
904,105,1300000,1657778,1998,11,False
905,105,1300000,367098,1999,5,False
907,135,1300000,655927,2006,3,False
908,80,1300000,32561,2006,2,False
